code|await_sync_at|barcode|cbenef|cest|cfop|cofins_aliquota|description|divergent_columns|estado_destino|estado_origem|icms_aliquota|icms_aliquota_reduzida|icms_cst|naturezareceita|naturezareceita_id|ncm|pis_aliquota|piscofins_cst|protege|sequencial|status_item|sync_at|sync_validate_at
500423|2024-10-28 18:04:58.498525+00:00|7896253401557||1705700|5102|0.0|WAFER RANCHEIRO MORANGO 78G|pis_aliquota, cofins_aliquota|||19|19|0|0||19053200|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500426|2024-10-28 18:04:58.498525+00:00|7897664171725||2003400|5102|0.0|SABONETE ALBANY FEMININO ROSA 85GR|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|25.0|34011190|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500427|2024-10-28 18:04:58.498525+00:00|7898915505016||0400100|5405|0.0|CIG PALHEI PIRACANJUBA 20UND|naturezareceita|||0|0|60|0|12.0|24022000|0.0|5|0|0|2|2024-10-28 19:20:05.131248+00:00|
500430|2024-10-28 18:04:58.498525+00:00|78943261||0400100|5405|0.0|CIG FREE KENT BOOST(BOX) RED BLEND 20UND|naturezareceita|||0|0|60|0|12.0|24022000|0.0|5|0|0|2|2024-10-28 19:20:05.131248+00:00|
500433|2024-10-28 18:04:58.498525+00:00|7894900701753||0301001|5405|0.0|COCA COLA S/A PT 1.5L|naturezareceita|||0|0|60|0|30.0|22021000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500434|2024-10-28 18:04:58.498525+00:00|7897580400053||1706200|5102|0.0|PAO PARA HOT DOG 500G|pis_aliquota, cofins_aliquota|||19|19|0|0||19059090|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500435|2024-10-28 18:04:58.498525+00:00|7898212400205|||5102|0.0|GELO CUBO 7KG|pis_aliquota, cofins_aliquota|||19|19|0|0||22019000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500436|2024-10-28 18:04:58.498525+00:00|7896808300052||1709601|5102|0.0|CAFE BIBO MOIDO 250G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|20.0|09012100|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500437|2024-10-28 18:04:58.498525+00:00|7891079011485||1704701|5102|0.0|NISSIN LAMEN HOT CALABRESA 85G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|16.0|19023000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500438|2024-10-28 18:04:58.498525+00:00|7896058257274||1705300|5102|0.0|BISC DANIX RECH CHOCO CHOCO 130GR|pis_aliquota, cofins_aliquota|||19|19|0|0||19053100|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
